id,cost
1,38531978.85
2,17111559.75
3,9117976.436
4,7887171.97
5,7851446.026
6,6112134.076
7,6022347.734
8,5422362.311
9,5201537.61
10,5070724.076
11,4640062.1
12,3573803.768
13,3531678.969
14,3361227.051
15,2828622.398
16,2821717.514
17,2776819.109
18,2686599.667
19,2662906.267
20,2454915.194
21,2427726.572
22,2333230.619
23,2261523.17
24,2023635.37
25,1799218.331
26,1565779.086
27,14898248.88
28,6224164.039
29,2645764.065
30,2226747.157
31,1973874.145
32,1568458.917
33,11116093.49
34,10555530.82
35,7927613.267
36,4765843.104
37,4395236.894
38,3144208.468
39,3120423.474
40,3012871.587
41,2835001.709
42,2676328.741
43,2644976.439
44,2442581.902
45,2353325.219
46,2219697.227
47,2166197.867
48,2118347.175
49,2053753.841
50,2052754.509
51,1868802.053
52,1776756.421
53,1753355.2
54,1718002.087
55,1690590.12
56,1633952.135
57,1625784.612
58,1603132.241
59,1568325.451
60,1525958.893
61,12706007.41
62,5752098.217
63,5600230.609
64,5312669.309
65,3253246.397
66,3056076.689
67,1922427.746
68,1668651.13
69,1320099.654
70,1065460.111
71,1495684.336
72,1492387.985
73,1477201.86
74,1457430.294
75,1415921.069
76,1392597.668
77,1385990.965
78,1304407.002
79,1274905.822
80,1169838.411
81,1049023.947
82,1022458.67
83,966091.6561
84,964239.5392
85,935203.3898
86,859505.6628
87,852906.5759
88,831375.7261
89,1436979.962
90,1196185.687
91,954771.2757
92,845701.9803
93,1502224.282
94,1469754.764
95,1468945.646
96,1460716.096
97,1432899.758
98,1430018.398
99,1395639.792
100,1372531.95
101,1330162.543
102,1314183.68
103,1295506.988
104,1293605.896
105,1267512.799
106,1253068.108
107,1251470.486
108,1229964.531
109,1212421.833
110,1202550.723
111,1166623.892
112,1154680.23
113,1152666.313
114,1143833.741
115,1130027.972
116,1123025.044
117,1109326.597
118,1081197.219
119,1080324.682
120,1070065.169
121,1050016.832
122,1044863.325
123,1044114.495
124,1041941.403
125,1016505.829
126,1000225.525
127,1000116.331
128,992781.5198
129,976220.4361
130,970587.2081
131,963940.3507
132,951447.386
133,937058.2612
134,918482.1942
135,912539.1428
136,895717.6516
137,889711.1235
138,867485.6327
139,858865.0937
140,851263.9607
141,846187.8743
142,842405.425
143,838374.7269
144,1453474.082
145,1418271.284
146,1293961.683
147,1263303.098
148,1248430.165
149,1178834.966
150,1155839.924
151,1065241.834
